title,price,rating,image,description,url
"Bose QuietComfort Bluetooth Headphones, Wireless Headphones, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, Black",,4.6 ,https://m.media-amazon.com/images/I/51QeS0jkx-L.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    NOISE CANCELLING HEADPHONES: Effortlessly combines noise cancellation technology with passive features so you can shut off the outside world, quiet distractions, and take music beyond the beat    COMFORTABLE HEADPHONES: Plush earcup cushions softly hug your ears, while a secure and comfortable padded band gently keeps your over ear headphones in place for those extra-long listening sessions    2 LISTENING MODES: These wireless Bluetooth headphones feature Quiet and Aware Modes that let you toggle between full noise cancelling or full awareness of your surroundings for seamless sound control    HIGH-FIDELITY AUDIO/EQ CONTROL: Supercharge your favorite tracks with high-fidelity audio and Adjustable EQ that puts you in control of the bass, mid-range, and treble for unmatched bold sound    ALL DAY BATTERY LIFE: Bose QuietComfort wireless headphones provide up to 24 hours of battery on a single charge, plus a 15-minute charge gives you up to 2.5 hours of additional play time    WIRED HEADPHONES OPTION: Plug the included audio cable with in-line microphone into your Bose noise cancelling headphones to use them without a Bluetooth connection, or even when the battery is depleted    MULTIPOINT BLUETOOTH HEADPHONES: Seamlessly stay connected to all your favorite devices using the multi-point toggle feature which allows you to switch devices without disconnecting and reconnecting each time    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-Cancelling-Headphones-Bluetooth/dp/B0CCZ26B5V/ref=sr_1_1?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-1
"Sony WH-1000XM5 The Best Wireless Noise Canceling Headphones with Auto Noise Canceling Optimizer, Crystal Clear Hands-Free Calling, and Alexa Voice Control, Silver",328.00,4.4 ,https://m.media-amazon.com/images/I/61ULAZmt9NL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    THE BEST NOISE CANCELLATION: Two processors control 8 microphones for unprecedented noise cancellation. With Auto NC Optimizer, noise canceling is automatically optimized based on your wearing conditions and environment.    MAGNIFICENT SOUND: Engineered to perfection with the new Integrated Processor V1    CRYSTAL CLEAR HANDS-FREE CALLING: 4 beamforming microphones, precise voice pickup, and advanced audio signal processing.    LONG BATTERY LIFE: Up to 30-hour battery life with quick charging (3 min charge for 3 hours of playback).    ULTRA-COMFORTABLE: Lightweight design with soft fit leather.    MULTIPOINT CONNECTION: Quickly switch between devices.    CARRY CASE INCLUDED: Carry your headphones effortlessly in the redesigned case.    
   INTUTIVE TOUCH CONTROLS: Pause play skip tracks, control volume, activate your voice assistant, and answer phone calls. SPEAK-TO-CHAT: Automatically pauses music when you speak, letting sound in so you can conduct your conversation. INSTANT PAUSE/INSTANT PLAY: Music automatically pauses when headphones are taken off and starts again when they are put back on.   Show more   ›  See more product details",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzA0NzcwOTMyNDE2NTA6MTcyNTg1MjI5NzpzcF9hdGY6MjAwMDU2NjEyMjA5OTk4OjowOjo&url=%2FSony-WH-1000XM5-Canceling-Headphones-Hands-Free%2Fdp%2FB09XSDMT4F%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA%26dib_tag%3Dse%26keywords%3Dbose%26qid%3D1725852297%26s%3Daht%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Bose QuietComfort 45 Wireless Bluetooth Noise Cancelling Headphones, Over-Ear Headphones with Microphone, Personalized Noise Cancellation and Sound, Triple Black",249.99,4.6 ,https://m.media-amazon.com/images/I/51Ltm3tbH2L.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    NOISE CANCELLING WIRELESS HEADPHONES: The perfect balance of quiet, comfort, and sound. Bose uses tiny mics to measure, compare, and react to outside noise, cancelling it with opposite signals. Bluetooth range-up to 9 m (30 feet).    HIGH-FIDELITY AUDIO: The TriPort acoustic architecture offers depth and fullness. Volume-optimized Active EQ maintains balanced performance at any volume, so bass stays consistent when turned down and the music remains clear when turned up.    QUIET AND AWARE MODES: Choose Quiet Mode for full noise cancelling, or Aware Mode to bring the outside into the around ear headphones and hear your environment and your music at the same time.    UP TO 22 HOURS BATTERY LIFE: Enjoy 22 hours of battery life from a single charge. A quick 15-minute charge offers 3 hours when you’re on the go, or plug in the included audio cable to listen for even longer in wired mode.    PERSONALIZE YOUR AUDIO: Adjustable EQ allows you to set the bass, mid-range, and treble levels to your personal preferences or select one of several preset options.    BOSE SIMPLESYNC TECHNOLOGY: SimpleSync pairs your Bose QuietComfort 45 headphones with select Bose smart soundbars for a personal TV listening experience. Independent volume controls allow you to lower or mute your soundbar while keeping your headphones as loud as you like.Away from your phone. Press and hold the Bluetooth button on each device to sync their sound. Already got a group going. Link by pressing the Action button to connect at a moment’s notice. Includes 3.5 mm to 2.5 mm audio cable    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-45-Bluetooth-Canceling-Headphones/dp/B098FKXT8L/ref=sr_1_3?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-3
"Bose QuietComfort Ultra Bluetooth Headphones, Wireless Headphones with Spatial Audio, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, Black",429.00,4.3 ,https://m.media-amazon.com/images/I/51NC9ErIQtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    SPATIAL AUDIO HEADPHONES: Bose QuietComfort Ultra Headphones with spatial audio give you an immersive experience that makes music feel more real; CustomTune technology offers personalized sound, shaped to you    NOISE CANCELING HEADPHONES: These wireless noise cancelling headphones feature Quiet Mode, Aware Mode and Immersion Mode, which combines full noise cancellation and Bose Immersive Audio    HEADPHONES WITH MIC: Microphones focus on the sound of your voice and the bluetooth headphones with microphone filter out background noise for the clearest phone calls of any Bose headphones    COMFORTABLE HEADPHONES: Soft ear cushions hug your ears, the band spreads pressure evenly and elevated materials let you make a statement with these noise cancelling over-the-ear headphones    WIRELESS HEADPHONES BLUETOOTH: Advanced Bluetooth 5.3 offers connection within 30 feet of your device; SimpleSync allows you to sync with a Bose smart soundbar so you can listen to TV at your own volume    24-HOUR BATTERY LIFE: Listen longer with up to 24 hours of battery life (up to 18 hours with Immersive Audio), a 15-minute charge offers up to 2.5 hours of play time (up to 2 hours with Immersive Audio)    CONNECT AND CONTROL: Touch controls on each earcup allow you to change volume, skip tracks, answer calls and change modes; you can also turn the Bluetooth headphones on/off simply with head motions    BOSE APP: Download the Bose app to receive the latest software updates for your Bose QuietComfort Ultra Headphones. Ensure optimal functionality and get access to all the latest features and cutting-edge tech    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-Wireless-Cancelling-Headphones/dp/B0CCZ1L489/ref=sr_1_4?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-4
"Bose QuietComfort 45 Wireless Bluetooth Noise Cancelling Headphones, Over-Ear Headphones with Microphone, Personalized Noise Cancellation and Sound, White Smoke",289.00,4.7 ,https://m.media-amazon.com/images/I/51iAp-Nq7FL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    NOISE CANCELLING WIRELESS HEADPHONES: The perfect balance of quiet, comfort, and sound. Bose uses tiny mics to measure, compare, and react to outside noise, cancelling it with opposite signals. Bluetooth range-up to 9 m (30 feet).    HIGH-FIDELITY AUDIO: The TriPort acoustic architecture offers depth and fullness. Volume-optimized Active EQ maintains balanced performance at any volume, so bass stays consistent when turned down and the music remains clear when turned up.    QUIET AND AWARE MODES: Choose Quiet Mode for full noise cancelling, or Aware Mode to bring the outside into the around ear headphones and hear your environment and your music at the same time.    UP TO 22 HOURS BATTERY LIFE: Enjoy 22 hours of battery life from a single charge. A quick 15-minute charge offers 3 hours when you’re on the go, or plug in the included audio cable to listen for even longer in wired mode.    PERSONALIZE YOUR AUDIO: Adjustable EQ allows you to set the bass, mid-range, and treble levels to your personal preferences or select one of several preset options.    BOSE SIMPLESYNC TECHNOLOGY: SimpleSync pairs your Bose QuietComfort 45 headphones with select Bose smart soundbars for a personal TV listening experience. Independent volume controls allow you to lower or mute your soundbar while keeping your headphones as loud as you like.Away from your phone. Press and hold the Bluetooth button on each device to sync their sound. Already got a group going. Link by pressing the Action button to connect at a moment’s notice.    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-Bluetooth-Cancelling-Headphones/dp/B098FH5P3C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-5
"Bose Headphones 700, Noise Cancelling Bluetooth Over-Ear Wireless Headphones with Built-In Microphone for Clear Calls and Alexa Voice Control, Black",279.95,4.5 ,https://m.media-amazon.com/images/I/61rgsnfRJlL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    POWERFUL NOISE CANCELLING HEADPHONES: 11 levels of active noise cancelling let you enjoy music, podcasts, videos & calls without distractions    ASTONISHING SOUND: Crisp, clear details. Deep, full bass. These wireless headphones produce exciting, lifelike sound that’s full and balanced at every volume level    UNRIVALED VOICE PICKUP: A revolutionary microphone system adapts to noisy and windy environments so your voice always sounds crystal clear on calls    KEEP YOUR HEAD UP AND HANDS FREE: With easy access to voice assistants like Alexa and Google Assistant for music, navigation, weather, and more, and intuitive touch control on the earcups — you can stay connected without reaching for your phone    PREMIUM DESIGN AND COMFORT: With a lightweight stainless steel headband and earcups tilted for the perfect fit, you can comfortably wear these bluetooth headphones for hours    BATTERY LIFE: Get up to 20 hours of wireless battery life on a single charge    ONE TOUCH TO LISTEN TO SPOTIFY: Instantly listen to your last Spotify session or discover new music by tapping and holding the right earcup. Currently only available when using iOS devices with your headphones    
   ALEXA CALLING: Use these wireless noise cancelling headphones to place a call to a Bose smart device or the Amazon Echo device with the Alexa mobile app BOSE SIMPLESYNC TECHNOLOGY: SimpleSync pairs your Bose Noise Cancelling Headphones 700 with select Bose smart soundbars for a personal TV listening experience. Independent volume controls allow you to lower or mute your soundbar while keeping your headphones as loud as you like.Away from your phone? Press and hold the Bluetooth button on each device to sync their sound. Already got a group going? Link by pressing the Action button to connect at a moment’s notice. Bluetooth range: Up to 33 ft (10 m)   Show more   ›  See more product details",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_6_mod_primary_new?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-6
"Bluetooth Headphones, Premium Active Noise Cancelling Wireless Headphones Over Ear, 50H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups for Travel, Home Office",79.99,4.7 ,https://m.media-amazon.com/images/I/61RahTQtAqL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    Hi-Res Audio: Hi-Res certification signifies the ability to deliver high-resolution audio, enabling you to enjoy all the thrill and excitement of pure, living sound directly to your ears    Qualcomm Chip: The world's leading Qualcomm chip provides the most stable Bluetooth connection, high-fidelity audio transmission and ultra-low power consumption for the Bluetooth headphones    Noise Canceling: Built-in ANC microphones and digital active noise cancellation filter out up to most of low-frequency ambient sound, improves audio quality, and allows you to enjoy music and calls more attentively    Ultra-comfortable: Active noise cancelling headphones can be pressure-free worn all day thanks to their lightweight build and soft fit leather padded earcups and adjustable headband, even if you're wearing glasses    Extended Playtime: Enjoy 50 hours of battery life on a single charge, with a 10-minute quick charge offering 3 hours of playtime, or extend your listening experience even further with the included 3.5 mm audio cable in wired mode    After-sales Carefree: Bluedee offer a comprehensive satisfaction service and tech support, please don't hesitate to tell us via Amazon message or the service address on the manual    
 ›  See more product details",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzA0NzcwOTMyNDE2NTA6MTcyNTg1MjI5NzpzcF9tdGY6MzAwMzk5MTg0MjUwMjAyOjowOjo&url=%2FBluetooth-Headphones-Cancelling-Wireless-Playtime%2Fdp%2FB0C2D21HBX%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA%26dib_tag%3Dse%26keywords%3Dbose%26qid%3D1725852297%26s%3Daht%26sr%3D1-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Bose QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up to 24 Hours of Battery Life, White Smoke (Renewed)",247.93,4.0 ,https://m.media-amazon.com/images/I/51K77J9rCjL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    LEGENDARY NOISE CANCELLATION: Effortlessly combines noise cancelling headphones technology with passive features so you can shut off the outside world, quiet distractions, and take music beyond the beat    PREMIUM COMFORT: Plush earcup cushions softly hug your ears, while a secure and comfortable padded band gently keeps your over ear headphones in place for those extra-long listening sessions    2 LISTENING MODES: These wireless Bluetooth headphones feature Quiet and Aware Modes that let you toggle between full noise cancelling or full awareness of your surroundings for seamless sound control    HIGH-FIDELITY AUDIO/EQ CONTROL: Supercharge your favorite tracks with high-fidelity audio and Adjustable EQ that puts you in control of the bass, mid-range, and treble for unmatched bold sound    ALL DAY BATTERY LIFE: Bose QuietComfort wireless headphones provide up to 24 hours of battery on a single charge, plus a 15-minute charge gives you up to 2.5 hours of additional play time    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-Cancelling-Headphones-Bluetooth/dp/B0CMW3QKNY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-8
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",359.00,4.7 ,https://m.media-amazon.com/images/I/61PzLRRxRbL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    Three levels of world-class noise cancellation for better listening experience in any environment    Alexa-enabled for voice access to music, information, and more    Noise-rejecting dual-microphone system for clear sound and voice pick-up    Balanced audio performance at any volume    Hassle-free Bluetooth pairing, personalized settings, access to future updates, and more through the Bose connect app. USB cable: 12 inch    Bose AR enabled — an innovative, audio-only version of augmented reality    For iPhone, iPad, and Android users, be sure your product’s firmware is up to date through the Bose connect app. Then you can access a showcase of Bose AR enhanced apps with Links to download them.    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-9
"Bose QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-The-Ear Headphones with Mic, Up to 24 Hours of Battery Life (Black)",439.00,4.7 ,https://m.media-amazon.com/images/I/51HvaARXnGL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"About this item    LEVELED-UP LISTENING: Bose QuietComfort Ultra Headphones with spatial audio give you an immersive experience that makes music feel more real; CustomTune technology offeres personalized sound, shaped to you    WORLD-CLASS NOISE CANCELLATION: These noise cancelling headphones feature Quiet Mode, Aware Mode and Immersion Mode, which combines full noise cancellation and Bose Immersive Audio    CRYSTAL CLEAR CALLS: Microphones focus on the sound of your voice and the noise cancelling headphones with mic filter out background noise for the clearest phone calls of any Bose headphones    ELEVATED DESIGN, LUXE COMFORT: Soft ear cushions hug your ears, the band spreads pressure evenly and elevated materials let you make a statement with these noise cancelling over-the-ear headphones    BLUETOOTH WIRELESS HEADPHONES: Advanced Bluetooth 5.3 offers connection within 30 feet of your device; SimpleSync allows you to sync with a Bose smart soundbar so you can listen to TV at your own volume    24-HOUR BATTERY LIFE: Listen longer with up to 24 hours of battery life (up to 18 hours with Immersive Audio), a 15-minute charge offers up to 2.5 hours of play time (up to 2 hours with Immersive Audio)    CONNECT AND CONTROL: Touch controls on each earcup allow you to change volume, skip tracks, answer calls and change modes; you can also turn the Bluetooth headphones on/off simply with head motions    
 ›  See more product details",https://www.amazon.com/Bose-QuietComfort-Ultra-Cancelling-Headphones/dp/B0CRLD2X9C/ref=sr_1_10?dib=eyJ2IjoiMSJ9.K6I7tjmowG8v0shK8FqMmVHvhycbjVvZ_f9ZnAfZJ5ObTZGp28iJaH1l7a_Ul0YF3V9P4GtvpJwz_SZ09E3rB9XmSu03fqiGebxoYnR2TI4iApQtnfUzY0Rg-H9Cx3VZrVIdPzMaKDPRdWimtesdFrgRyHNsRAUb1tnTz2Ch-s8Z_6U80yTAWCu44biw1YmuKF08TneCKLdnckGNDyn7zJ-T49kflQebele994Swa6hfdfasizUM95nf9WcgZsyzM77CrN2EO1-NFgS_Lty_Kkm7O2K-cMrqcLRHuqgSb5Q.jsyv4Wq2zXXZeYEumSdRq8iAG4kehFalgRtr9meRNtA&dib_tag=se&keywords=bose&qid=1725852297&s=aht&sr=1-10
